MAE result,DCRNN,GRAPHLSTM,VAR,MTEGNN,LSTM,GRU
AL,211.8391525,469.6279602,540.9211655,98.10229492,223.9255371,172.6646991
AR,117.8940399,381.7031784,311.512661,61.3877306,70.34622002,153.6376657
AZ,886.5849045,294.9065094,908.9409332,271.1635971,163.2461624,174.054066
CA,2255.649475,1182.290894,3438.989685,545.3665771,1172.179863,859.0729586
CO,627.1814636,104.1414642,758.3344727,124.9283676,224.4406586,180.2015978
CT,419.6840179,77.21769714,654.0655022,21.54496765,83.77581787,79.23948021
DC,50.87865753,49.54742622,155.1463242,15.20222282,13.73923302,48.53235309
DE,73.0955986,60.55755234,165.7802658,12.42852402,78.21931076,30.6803801
FL,915.6278442,1792.223022,2563.452271,269.6870117,379.1861877,1470.218297
GA,228.3942352,669.1324768,1084.235428,115.0084991,115.3946762,374.2785809
IA,111.9969971,133.0099335,328.4911327,29.58228302,55.06401825,12.51954137
ID,91.65824738,70.61992264,163.9776955,70.98659444,33.35401058,13.29521336
IL,403.6570007,314.264801,1671.741577,195.6809692,357.1812439,157.9999634
IN,191.8693451,462.335556,776.6529999,74.15235138,238.587326,96.66239969
KS,128.28284,142.283699,339.3837528,96.91424179,46.87170029,28.74303627
KY,242.5300552,422.3470917,782.8689651,171.9441071,211.6421204,162.2453794
LA,292.9749496,260.8491516,606.1328735,180.5606174,203.9530287,231.8130736
MA,950.9124512,397.8651123,992.1633911,77.62156677,122.5391235,71.50673803
MD,501.556897,243.9345245,730.0433884,183.9061432,344.8630524,163.864209
ME,279.0076675,25.37361908,132.3858242,9.076019287,46.05101013,9.856473358
MI,582.8873047,547.3866272,1378.330872,127.1298828,669.0137939,141.4192418
MN,442.8295624,98.69172668,674.625679,54.64677429,71.00151062,55.11712341
MO,290.955658,162.83078,736.6502686,255.5846672,120.7222672,232.7714394
MS,86.83500977,170.4731102,239.3166466,60.41220999,49.94499493,120.6242369
MT,129.8283112,173.4618149,180.0793095,55.09879971,31.96638775,20.27738754
NC,288.9961578,400.8771667,820.2347641,111.7284851,123.1395264,137.733358
ND,42.01983376,12.88184547,125.3473225,21.79840088,9.331521988,18.49211882
NE,121.0315392,43.71053314,259.1073303,50.25584221,21.90764236,28.23051184
NH,287.7841324,35.57760239,166.7736912,19.93315887,45.48585129,9.536361363
NJ,571.0595093,164.7730713,1857.676834,72.0040741,104.4448853,323.0355769
NM,112.0002007,73.54668808,247.8397942,38.96574974,66.33326912,40.95009388
NV,96.18695221,208.6482239,381.6133041,35.43954849,29.85702324,178.7538453
NY,637.1481323,565.7373657,3815.038147,293.1386719,645.2836304,593.8134764
OH,430.524939,384.7390137,1834.761581,205.0717163,425.0932312,339.1167924
OK,221.3737137,402.9740753,607.3093033,103.5208807,187.6088362,85.46226106
OR,144.2768478,13.56479645,308.1219501,127.2557259,48.37456894,29.91552099
PA,451.2316467,210.419342,1970.299667,112.5299683,690.2736206,200.4720094
RI,66.68628998,32.94166183,131.4224415,5.840151787,15.94432449,22.28027304
SC,151.305954,279.3709564,524.4345703,137.0009163,98.75630569,138.5813511
SD,95.46480751,62.85567856,143.3167448,48.510149,9.00334549,54.75283747
TN,231.8540726,434.4329681,639.6944962,94.36254883,94.92646027,61.63263486
TX,417.4075623,1837.178894,2213.849945,413.2258911,351.1934586,875.8547426
UT,168.8222687,72.57472229,292.0779533,78.75444412,13.73070526,41.45630586
VA,221.8701447,185.3919525,782.9311142,63.26730347,165.1503448,142.7028244
VT,205.9060158,20.34976387,63.75304937,7.937405586,14.44635105,18.63968993
WA,144.5218826,188.1583252,426.9479351,75.72009659,153.675499,113.2406009
WI,403.3214752,692.3027954,902.144722,81.90703583,70.69114685,141.9141791
WV,222.4093582,293.6393204,212.1354084,30.97521973,87.56707001,31.77529035
WY,43.46177692,56.03389549,73.24999046,27.55953002,22.69299281,9.576072764
