state,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13
02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,19.0,29.0,23.0,37.0,28.0,36.0,32.0,39.0,35.0,31.0,39.0,59.0,55.0,74.0,96.0,124.0,131.0,148.0,133.0,105.0,89.0,65.0,75.0,63.0,52.0,34.0,27.0,27.0,25.0,39.0,31.0,32.0,30.0,47.0,33.0,45.0,43.0,33.0,55.0,46.0,30.0,29.0,14.0,19.0,24.0,16.0,8.0,14.0,28.0,38.0,43.0,82.0,87.0,89.0,126.0,118.0,135.0,163.0,202.0,192.0,171.0,164.0,155.0,181.0,189.0,167.0,127.0,133.0,83.0,79.0,67.0,55.0,58.0,51.0,48.0,93.0,123.0,153.0,156.0,124.0,97.0,84.0,61.0,44.0,39.0,37.0,35.0,42.0,33.0,30.0,38.0,41.0,47.0,48.0,45.0,63.0,69.0,69.0,65.0,110.0,86.0,86.0,100.0,107.0,116.0,91.0,111.0,90.0,89.0,76.0,69.0,49.0,38.0,43.0,33.0,35.0,20.0,33.0,24.0,36.0,29.0
01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,1003.0,871.0,696.0,726.0,776.0,879.0,851.0,766.0,750.0,800.0,748.0,793.0,874.0,1045.0,1103.0,1131.0,1314.0,1387.0,1537.0,1976.0,2281.0,2667.0,2834.0,2936.0,3098.0,2715.0,2206.0,1829.0,1556.0,1192.0,955.0,717.0,558.0,457.0,552.0,452.0,390.0,379.0,388.0,453.0,411.0,462.0,501.0,345.0,329.0,263.0,216.0,181.0,208.0,499.0,318.0,556.0,1188.0,1872.0,2118.0,2603.0,2582.0,2536.0,2673.0,2352.0,1709.0,1156.0,837.0,741.0,554.0,427.0,388.0,284.0,293.0,266.0,267.0,342.0,341.0,363.0,499.0,1154.0,1888.0,2478.0,2837.0,2974.0,2241.0,1548.0,1001.0,673.0,446.0,305.0,203.0,151.0,130.0,118.0,104.0,110.0,130.0,109.0,175.0,173.0,210.0,324.0,327.0,423.0,560.0,638.0,700.0,847.0,890.0,852.0,809.0,801.0,726.0,714.0,686.0,529.0,427.0,306.0,300.0,260.0,242.0,240.0,249.0,229.0,224.0,278.0
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,417.0,433.0,498.0,470.0,464.0,376.0,351.0,362.0,396.0,453.0,484.0,592.0,694.0,626.0,604.0,704.0,848.0,945.0,917.0,987.0,1037.0,1110.0,1095.0,1226.0,1285.0,1138.0,1046.0,864.0,741.0,628.0,451.0,383.0,259.0,197.0,203.0,133.0,148.0,179.0,171.0,175.0,255.0,248.0,242.0,253.0,256.0,236.0,254.0,324.0,401.0,449.0,672.0,779.0,972.0,1120.0,1223.0,1411.0,1297.0,1136.0,1055.0,904.0,892.0,729.0,536.0,494.0,411.0,370.0,326.0,282.0,270.0,322.0,356.0,463.0,496.0,539.0,481.0,762.0,1078.0,1458.0,1861.0,1924.0,1595.0,1148.0,805.0,445.0,377.0,289.0,201.0,178.0,147.0,155.0,138.0,121.0,75.0,100.0,132.0,88.0,97.0,140.0,187.0,215.0,255.0,312.0,396.0,488.0,497.0,454.0,433.0,422.0,389.0,340.0,343.0,292.0,336.0,272.0,221.0,179.0,131.0,125.0,131.0,146.0,123.0,158.0
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,1737.0,1142.0,767.0,777.0,690.0,583.0,482.0,472.0,333.0,377.0,366.0,480.0,546.0,668.0,692.0,951.0,1253.0,1699.0,2009.0,2797.0,3233.0,3368.0,3595.0,3919.0,4262.0,3933.0,3683.0,3027.0,2300.0,1755.0,1219.0,975.0,726.0,625.0,547.0,512.0,451.0,490.0,432.0,483.0,529.0,479.0,435.0,424.0,463.0,381.0,370.0,445.0,444.0,485.0,435.0,668.0,732.0,1036.0,1155.0,1350.0,1424.0,1445.0,1609.0,1534.0,1430.0,1318.0,1220.0,1236.0,1228.0,1265.0,1425.0,1620.0,1811.0,1914.0,2086.0,2234.0,2131.0,1885.0,1790.0,2159.0,2732.0,3390.0,3842.0,3662.0,3004.0,2227.0,1681.0,1099.0,876.0,656.0,457.0,442.0,312.0,475.0,256.0,260.0,268.0,337.0,400.0,408.0,469.0,594.0,682.0,701.0,798.0,786.0,793.0,924.0,940.0,751.0,735.0,747.0,622.0,488.0,440.0,353.0,319.0,302.0,276.0,293.0,264.0,345.0,361.0,524.0,735.0,899.0
06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2811.0,4713.0,5528.0,4990.0,4327.0,3487.0,3078.0,2884.0,2633.0,2278.0,2244.0,2293.0,2342.0,2316.0,2389.0,2570.0,2936.0,3638.0,5147.0,7185.0,9159.0,12159.0,15169.0,15770.0,16021.0,16358.0,14890.0,12757.0,10265.0,8324.0,6231.0,4710.0,3732.0,3064.0,2648.0,2396.0,2116.0,1966.0,1828.0,1891.0,1713.0,1690.0,1515.0,1327.0,1338.0,1141.0,1111.0,1006.0,962.0,1052.0,1274.0,1457.0,2054.0,2980.0,4123.0,5476.0,6339.0,6913.0,6636.0,6075.0,5060.0,4410.0,3854.0,3112.0,2890.0,2776.0,2968.0,3048.0,2945.0,2652.0,2435.0,2318.0,2540.0,2766.0,2700.0,3234.0,6836.0,11758.0,14886.0,14875.0,12932.0,9736.0,7464.0,5042.0,3609.0,2888.0,2047.0,1600.0,1505.0,960.0,978.0,908.0,1023.0,1166.0,1424.0,1694.0,2240.0,2610.0,2948.0,3418.0,3410.0,4001.0,4368.0,4967.0,5230.0,5208.0,4857.0,4571.0,4099.0,3935.0,3810.0,3403.0,3215.0,2771.0,2278.0,2163.0,2013.0,1962.0,1842.0,1817.0,1984.0,2368.0,2965.0
08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,318.0,342.0,360.0,253.0,172.0,147.0,160.0,123.0,157.0,205.0,220.0,335.0,458.0,629.0,764.0,1198.0,1550.0,1858.0,1934.0,1826.0,1672.0,1350.0,1168.0,1023.0,967.0,910.0,823.0,694.0,605.0,536.0,516.0,488.0,407.0,363.0,429.0,452.0,495.0,626.0,537.0,699.0,806.0,819.0,677.0,627.0,519.0,464.0,363.0,296.0,300.0,350.0,362.0,318.0,404.0,486.0,601.0,664.0,852.0,861.0,993.0,987.0,959.0,979.0,992.0,1104.0,1245.0,1323.0,1377.0,1566.0,1665.0,1698.0,1581.0,1496.0,1286.0,1002.0,1235.0,1754.0,2404.0,2421.0,2080.0,2115.0,1208.0,822.0,598.0,418.0,281.0,216.0,152.0,129.0,124.0,110.0,129.0,189.0,179.0,276.0,276.0,350.0,765.0,519.0,710.0,578.0,589.0,647.0,707.0,647.0,592.0,504.0,516.0,455.0,367.0,364.0,341.0,327.0,310.0,252.0,276.0,237.0,256.0,320.0,381.0,533.0,607.0,718.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,48.0,59.0,121.0,60.0,85.0,68.0,71.0,61.0,94.0,71.0,126.0,125.0,168.0,215.0,298.0,411.0,679.0,695.0,821.0,959.0,1036.0,937.0,1020.0,945.0,1074.0,1089.0,947.0,855.0,788.0,622.0,576.0,523.0,516.0,541.0,494.0,623.0,617.0,708.0,617.0,549.0,495.0,425.0,305.0,227.0,121.0,110.0,76.0,62.0,62.0,46.0,44.0,69.0,117.0,153.0,244.0,298.0,373.0,359.0,294.0,323.0,263.0,244.0,258.0,233.0,208.0,202.0,185.0,198.0,229.0,262.0,338.0,480.0,682.0,781.0,737.0,1446.0,1988.0,1892.0,1553.0,1096.0,746.0,500.0,328.0,277.0,197.0,203.0,147.0,131.0,148.0,190.0,221.0,252.0,367.0,369.0,433.0,464.0,455.0,402.0,375.0,312.0,374.0,361.0,400.0,394.0,394.0,446.0,438.0,428.0,442.0,434.0,402.0,406.0,430.0,509.0,492.0,524.0,497.0,491.0,457.0,439.0,434.0,416.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,268.0,152.0,106.0,105.0,85.0,80.0,79.0,90.0,66.0,80.0,71.0,85.0,56.0,90.0,85.0,88.0,125.0,134.0,138.0,204.0,220.0,199.0,232.0,238.0,261.0,277.0,211.0,203.0,232.0,159.0,176.0,135.0,115.0,131.0,115.0,133.0,126.0,141.0,127.0,120.0,106.0,87.0,71.0,50.0,50.0,55.0,38.0,30.0,32.0,31.0,15.0,23.0,22.0,28.0,47.0,100.0,189.0,126.0,104.0,135.0,110.0,100.0,83.0,81.0,63.0,46.0,47.0,36.0,34.0,48.0,51.0,81.0,95.0,153.0,311.0,633.0,605.0,554.0,320.0,237.0,129.0,104.0,87.0,60.0,67.0,48.0,23.0,14.0,22.0,28.0,26.0,35.0,68.0,64.0,67.0,100.0,97.0,99.0,103.0,115.0,108.0,128.0,123.0,150.0,134.0,143.0,153.0,151.0,142.0,138.0,107.0,106.0,93.0,87.0,103.0,62.0,67.0,78.0,77.0,100.0,95.0,74.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,8.0,34.0,47.0,67.0,59.0,48.0,39.0,49.0,72.0,89.0,99.0,84.0,75.0,99.0,145.0,161.0,247.0,373.0,345.0,350.0,335.0,329.0,379.0,368.0,350.0,263.0,232.0,190.0,137.0,134.0,84.0,85.0,102.0,114.0,132.0,146.0,172.0,154.0,134.0,95.0,80.0,69.0,55.0,39.0,20.0,17.0,12.0,10.0,21.0,20.0,25.0,17.0,72.0,111.0,177.0,197.0,175.0,214.0,189.0,200.0,183.0,173.0,187.0,143.0,132.0,118.0,118.0,150.0,166.0,203.0,244.0,321.0,273.0,453.0,699.0,673.0,495.0,407.0,272.0,189.0,122.0,85.0,71.0,46.0,46.0,44.0,43.0,49.0,34.0,50.0,66.0,122.0,131.0,151.0,138.0,148.0,112.0,120.0,102.0,105.0,105.0,142.0,148.0,157.0,151.0,158.0,168.0,142.0,140.0,108.0,96.0,115.0,125.0,111.0,111.0,74.0,86.0,83.0,73.0,75.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3326.0,5722.0,5202.0,4558.0,4054.0,3530.0,3009.0,2582.0,2175.0,2109.0,1916.0,1840.0,2065.0,2032.0,2292.0,3058.0,2924.0,3434.0,3785.0,4124.0,4631.0,5013.0,5698.0,6162.0,7382.0,8070.0,7705.0,7193.0,6479.0,5768.0,4978.0,4696.0,4216.0,3802.0,3345.0,3217.0,3263.0,3290.0,3583.0,3793.0,3735.0,3548.0,3010.0,2867.0,2376.0,2281.0,1842.0,1744.0,1743.0,1788.0,2147.0,3233.0,4876.0,8006.0,11419.0,14561.0,15674.0,15485.0,13608.0,11543.0,9195.0,7090.0,5320.0,3904.0,3161.0,2464.0,2012.0,1636.0,1422.0,1276.0,1311.0,1172.0,1260.0,1392.0,1764.0,3528.0,8764.0,13708.0,14474.0,12855.0,10493.0,8100.0,6068.0,4239.0,2905.0,1983.0,1509.0,1101.0,929.0,883.0,859.0,1028.0,1139.0,1445.0,1726.0,2056.0,2490.0,3117.0,3506.0,4082.0,4381.0,4615.0,4849.0,5166.0,5348.0,5488.0,5397.0,5211.0,4802.0,4272.0,3720.0,3413.0,2943.0,2671.0,2300.0,1760.0,1423.0,1331.0,1230.0,1456.0,1418.0,1441.0,1458.0
