,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.025,3925.331408691406,10315.0
1,2021-11-15,1 wk ahead inc case,2021-11-20,51,point,NA,6971.427734375,10315.0
2,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.1,4316.951806640625,10315.0
4,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.25,5412.1463623046875,10315.0
6,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.5,6971.427734375,10315.0
8,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.75,8115.042724609375,10315.0
10,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.9,8413.6203125,10315.0
12,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.975,10732.000463867185,10315.0
14,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.025,2661.3676940917967,12870.0
15,2021-11-15,2 wk ahead inc case,2021-11-27,51,point,NA,6182.659423828125,12870.0
16,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.1,4557.417138671875,12870.0
18,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.25,4963.671142578125,12870.0
20,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.5,6182.659423828125,12870.0
22,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.75,7527.861083984375,12870.0
24,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.9,8715.7564453125,12870.0
26,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.975,9543.724902343749,12870.0
28,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.025,2796.0355834960938,17480.0
29,2021-11-15,3 wk ahead inc case,2021-12-04,51,point,NA,6347.71826171875,17480.0
30,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.1,4146.5919189453125,17480.0
32,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.25,5156.284423828125,17480.0
34,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.5,6347.71826171875,17480.0
36,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.75,7652.2916259765625,17480.0
38,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.9,9111.92314453125,17480.0
40,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.975,10096.3328125,17480.0
42,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.025,3093.9794067382813,19345.0
43,2021-11-15,4 wk ahead inc case,2021-12-11,51,point,NA,7183.17138671875,19345.0
44,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.1,4406.286376953125,19345.0
46,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.25,5695.755126953125,19345.0
48,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.5,7183.17138671875,19345.0
50,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.75,8655.487548828125,19345.0
52,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.9,10298.9052734375,19345.0
54,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.975,11670.362109374999,19345.0
56,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.025,1840.826922607422,4082.0
57,2021-11-15,1 wk ahead inc case,2021-11-20,45,point,NA,3987.962646484375,4082.0
58,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.1,2413.6267822265627,4082.0
60,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.25,3106.6624145507812,4082.0
62,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.5,3987.962646484375,4082.0
64,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.75,4897.3968505859375,4082.0
66,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.9,5763.07802734375,4082.0
68,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.975,6279.064782714842,4082.0
70,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.025,1475.4450653076174,6040.0
71,2021-11-15,2 wk ahead inc case,2021-11-27,45,point,NA,3466.30419921875,6040.0
72,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.1,2184.1857299804688,6040.0
74,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.25,2730.3108520507812,6040.0
76,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.5,3466.30419921875,6040.0
78,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.75,4071.4508056640625,6040.0
80,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.9,4335.173828125,6040.0
82,2021-11-15,2 wk ahead inc case,2021-11-27,45,quantile,0.975,5536.6026611328125,6040.0
84,2021-11-15,3 wk ahead inc case,2021-12-04,45,quantile,0.025,1308.328549194336,7357.0
85,2021-11-15,3 wk ahead inc case,2021-12-04,45,point,NA,3167.4630126953125,7357.0
86,2021-11-15,3 wk ahead inc case,2021-12-04,45,quantile,0.1,1896.7937744140625,7357.0
88,2021-11-15,3 wk ahead inc case,2021-12-04,45,quantile,0.25,2494.2584228515625,7357.0
90,2021-11-15,3 wk ahead inc case,2021-12-04,45,quantile,0.5,3167.4630126953125,7357.0
