,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.025,2105.2070129394533,17945.0
1,2020-11-16,1 wk ahead inc case,2020-11-21,51,point,NA,10691.18212890625,17945.0
2,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.1,5803.676586914064,17945.0
4,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.25,8248.685546875,17945.0
6,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.5,10691.18212890625,17945.0
8,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.75,13800.7060546875,17945.0
10,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.9,16600.645312500004,17945.0
12,2020-11-16,1 wk ahead inc case,2020-11-21,51,quantile,0.975,20732.338867187496,17945.0
14,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.025,1906.671618652344,17570.0
15,2020-11-16,2 wk ahead inc case,2020-11-28,51,point,NA,12514.7275390625,17570.0
16,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.1,5420.198291015626,17570.0
18,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.25,8387.5673828125,17570.0
20,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.5,12514.7275390625,17570.0
22,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.75,17097.1328125,17570.0
24,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.9,19679.142382812504,17570.0
26,2020-11-16,2 wk ahead inc case,2020-11-28,51,quantile,0.975,22310.696875,17570.0
28,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.025,4837.09765625,27610.0
29,2020-11-16,3 wk ahead inc case,2020-12-05,51,point,NA,12065.484375,27610.0
30,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.1,7399.832568359375,27610.0
32,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.25,9375.956787109375,27610.0
34,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.5,12065.484375,27610.0
36,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.75,17223.06591796875,27610.0
38,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.9,20532.594140625,27610.0
40,2020-11-16,3 wk ahead inc case,2020-12-05,51,quantile,0.975,22309.775195312497,27610.0
42,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.025,5690.727648925781,24393.0
43,2020-11-16,4 wk ahead inc case,2020-12-12,51,point,NA,20492.9501953125,24393.0
44,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.1,10044.079785156251,24393.0
46,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.25,15079.56787109375,24393.0
48,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.5,20492.9501953125,24393.0
50,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.75,25451.369140625,24393.0
52,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.9,32525.79765625,24393.0
54,2020-11-16,4 wk ahead inc case,2020-12-12,51,quantile,0.975,33593.5556640625,24393.0
56,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.025,1852.9865417480469,9894.0
57,2020-11-16,1 wk ahead inc case,2020-11-21,45,point,NA,9315.85888671875,9894.0
58,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.1,4536.4544921875,9894.0
60,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.25,6503.953125,9894.0
62,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.5,9315.85888671875,9894.0
64,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.75,12826.978515625,9894.0
66,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.9,14570.866796875,9894.0
68,2020-11-16,1 wk ahead inc case,2020-11-21,45,quantile,0.975,17665.971826171874,9894.0
70,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.025,3588.9070556640627,14324.0
71,2020-11-16,2 wk ahead inc case,2020-11-28,45,point,NA,11207.998046875,14324.0
72,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.1,5465.420703125,14324.0
74,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.25,9124.717041015625,14324.0
76,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.5,11207.998046875,14324.0
78,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.75,13572.9130859375,14324.0
80,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.9,16242.5140625,14324.0
82,2020-11-16,2 wk ahead inc case,2020-11-28,45,quantile,0.975,19493.31904296875,14324.0
84,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.025,4363.457434082032,19563.0
85,2020-11-16,3 wk ahead inc case,2020-12-05,45,point,NA,14434.517578125,19563.0
86,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.1,5903.145166015625,19563.0
88,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.25,10279.99169921875,19563.0
90,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.5,14434.517578125,19563.0
92,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.75,16679.425048828125,19563.0
94,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.9,19702.6724609375,19563.0
96,2020-11-16,3 wk ahead inc case,2020-12-05,45,quantile,0.975,21247.898095703124,19563.0
98,2020-11-16,4 wk ahead inc case,2020-12-12,45,quantile,0.025,4658.356286621094,21740.0
99,2020-11-16,4 wk ahead inc case,2020-12-12,45,point,NA,13808.97021484375,21740.0
