,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.025,22413.324951171875,25377.0
1,2021-09-06,1 wk ahead inc case,2021-09-11,51,point,NA,27191.1435546875,25377.0
2,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.1,23492.581640625,25377.0
4,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.25,25413.17236328125,25377.0
6,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.5,27191.1435546875,25377.0
8,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.75,30147.17822265625,25377.0
10,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.9,32374.568164062504,25377.0
12,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.975,34323.03125,25377.0
14,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.025,16448.570654296876,22994.0
15,2021-09-06,2 wk ahead inc case,2021-09-18,51,point,NA,24307.822265625,22994.0
16,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.1,20000.6857421875,22994.0
18,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.25,21276.51904296875,22994.0
20,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.5,24307.822265625,22994.0
22,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.75,27302.17431640625,22994.0
24,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.9,29417.039453125002,22994.0
26,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.975,31782.37890625,22994.0
28,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.025,13057.678198242187,19500.0
29,2021-09-06,3 wk ahead inc case,2021-09-25,51,point,NA,20875.5595703125,19500.0
30,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.1,14969.919921875,19500.0
32,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.25,16880.40283203125,19500.0
34,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.5,20875.5595703125,19500.0
36,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.75,22911.3046875,19500.0
38,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.9,25005.0337890625,19500.0
40,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.975,27771.1462890625,19500.0
42,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.025,7569.668811035157,18849.0
43,2021-09-06,4 wk ahead inc case,2021-10-02,51,point,NA,15990.64404296875,18849.0
44,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.1,10992.94970703125,18849.0
46,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.25,13811.26708984375,18849.0
48,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.5,15990.64404296875,18849.0
50,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.75,18039.94775390625,18849.0
52,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.9,19897.644921875,18849.0
54,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.975,22748.7166015625,18849.0
56,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.025,11265.7162109375,35153.0
57,2021-09-06,1 wk ahead inc case,2021-09-11,45,point,NA,20096.91015625,35153.0
58,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.1,15361.73173828125,35153.0
60,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.25,17519.44091796875,35153.0
62,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.5,20096.91015625,35153.0
64,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.75,21274.65625,35153.0
66,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.9,24683.90625,35153.0
68,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.975,24683.90625,35153.0
70,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.025,10406.1056640625,22396.0
71,2021-09-06,2 wk ahead inc case,2021-09-18,45,point,NA,14918.24755859375,22396.0
72,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.1,11315.815625,22396.0
74,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.25,12608.70849609375,22396.0
76,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.5,14918.24755859375,22396.0
78,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.75,16710.09033203125,22396.0
80,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.9,17582.246875,22396.0
82,2021-09-06,2 wk ahead inc case,2021-09-18,45,quantile,0.975,17815.745703125,22396.0
84,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.025,7388.606823730469,18770.0
85,2021-09-06,3 wk ahead inc case,2021-09-25,45,point,NA,10714.89013671875,18770.0
86,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.1,7954.89970703125,18770.0
88,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.25,9161.060791015625,18770.0
90,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.5,10714.89013671875,18770.0
92,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.75,12215.807861328125,18770.0
94,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.9,13346.042578125,18770.0
96,2021-09-06,3 wk ahead inc case,2021-09-25,45,quantile,0.975,13754.436376953125,18770.0
98,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.025,5577.255908203125,13644.0
99,2021-09-06,4 wk ahead inc case,2021-10-02,45,point,NA,9903.3642578125,13644.0
100,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.1,6751.52578125,13644.0
102,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.25,7833.0791015625,13644.0
104,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.5,9903.3642578125,13644.0
106,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.75,10837.058837890625,13644.0
108,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.9,11318.6361328125,13644.0
110,2021-09-06,4 wk ahead inc case,2021-10-02,45,quantile,0.975,11539.3158203125,13644.0
112,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.025,15044.270751953125,51507.0
113,2021-09-06,1 wk ahead inc case,2021-09-11,37,point,NA,40718.45703125,51507.0
114,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.1,29626.1005859375,51507.0
116,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.25,32652.349609375,51507.0
118,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.5,40718.45703125,51507.0
120,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.75,48243.2265625,51507.0
122,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.9,48680.5390625,51507.0
124,2021-09-06,1 wk ahead inc case,2021-09-11,37,quantile,0.975,49084.10703125,51507.0
126,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.025,11887.16123046875,38454.0
127,2021-09-06,2 wk ahead inc case,2021-09-18,37,point,NA,28671.390625,38454.0
128,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.1,18292.043359375,38454.0
130,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.25,24705.53369140625,38454.0
132,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.5,28671.390625,38454.0
134,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.75,35464.9326171875,38454.0
136,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.9,38569.483984375,38454.0
138,2021-09-06,2 wk ahead inc case,2021-09-18,37,quantile,0.975,39453.07744140625,38454.0
140,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.025,13148.604321289062,30859.0
141,2021-09-06,3 wk ahead inc case,2021-09-25,37,point,NA,23546.6728515625,30859.0
142,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.1,15132.12734375,30859.0
144,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.25,19630.890625,30859.0
146,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.5,23546.6728515625,30859.0
148,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.75,27707.51611328125,30859.0
150,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.9,30285.602929687502,30859.0
152,2021-09-06,3 wk ahead inc case,2021-09-25,37,quantile,0.975,31743.870263671874,30859.0
154,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.025,7787.968017578125,25510.0
155,2021-09-06,4 wk ahead inc case,2021-10-02,37,point,NA,20387.228515625,25510.0
156,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.1,12661.48564453125,25510.0
158,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.25,17020.04638671875,25510.0
160,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.5,20387.228515625,25510.0
162,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.75,23210.59619140625,25510.0
164,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.9,24677.605078125,25510.0
166,2021-09-06,4 wk ahead inc case,2021-10-02,37,quantile,0.975,25876.34033203125,25510.0
168,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.025,14109.710643,39653.0
169,2021-09-06,1 wk ahead inc case,2021-09-11,13,point,NA,22403.24512,39653.0
170,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.1,16260.765623,39653.0
172,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.25,21475.88721,39653.0
174,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.5,22403.24512,39653.0
176,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.75,29357.46875,39653.0
178,2021-09-06,1 wk ahead inc case,2021-09-11,13,quantile,0.9,29812.10547,39653.0
