,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.025,9644.455297851562,27610.0
1,2020-11-30,1 wk ahead inc case,2020-12-05,51,point,NA,36429.09765625,27610.0
2,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.1,20349.853515625,27610.0
4,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.25,30395.3046875,27610.0
6,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.5,36429.09765625,27610.0
8,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.75,41416.23828125,27610.0
10,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.9,41416.23828125,27610.0
12,2020-11-30,1 wk ahead inc case,2020-12-05,51,quantile,0.975,41416.23828125,27610.0
14,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.025,18649.088525390627,24393.0
15,2020-11-30,2 wk ahead inc case,2020-12-12,51,point,NA,45306.81640625,24393.0
16,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.1,27793.6662109375,24393.0
18,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.25,33274.466796875,24393.0
20,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.5,45306.81640625,24393.0
22,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.75,50991.92578125,24393.0
24,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.9,52250.265625,24393.0
26,2020-11-30,2 wk ahead inc case,2020-12-12,51,quantile,0.975,52501.09013671875,24393.0
28,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.025,30022.95166015625,26617.0
29,2020-11-30,3 wk ahead inc case,2020-12-19,51,point,NA,53766.1015625,26617.0
30,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.1,31689.94453125,26617.0
32,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.25,37053.6767578125,26617.0
34,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.5,53766.1015625,26617.0
36,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.75,60098.7470703125,26617.0
38,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.9,63753.57734375,26617.0
40,2020-11-30,3 wk ahead inc case,2020-12-19,51,quantile,0.975,64867.11328125,26617.0
42,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.025,13737.648168945312,29208.0
43,2020-11-30,4 wk ahead inc case,2020-12-26,51,point,NA,64448.80859375,29208.0
44,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.1,24473.279492187503,29208.0
46,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.25,51136.072265625,29208.0
48,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.5,64448.80859375,29208.0
50,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.75,70540.095703125,29208.0
52,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.9,75130.06640625,29208.0
54,2020-11-30,4 wk ahead inc case,2020-12-26,51,quantile,0.975,76657.9580078125,29208.0
56,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.025,13069.6884765625,19563.0
57,2020-11-30,1 wk ahead inc case,2020-12-05,45,point,NA,30180.0390625,19563.0
58,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.1,17833.0984375,19563.0
60,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.25,22398.94970703125,19563.0
62,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.5,30180.0390625,19563.0
64,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.75,32598.439453125,19563.0
66,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.9,32669.16328125,19563.0
68,2020-11-30,1 wk ahead inc case,2020-12-05,45,quantile,0.975,33296.16796875,19563.0
70,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.025,14929.62216796875,21740.0
71,2020-11-30,2 wk ahead inc case,2020-12-12,45,point,NA,35227.34375,21740.0
72,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.1,22356.5587890625,21740.0
74,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.25,28320.2353515625,21740.0
76,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.5,35227.34375,21740.0
78,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.75,37356.2333984375,21740.0
80,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.9,39789.698828125,21740.0
82,2020-11-30,2 wk ahead inc case,2020-12-12,45,quantile,0.975,40610.00595703125,21740.0
84,2020-11-30,3 wk ahead inc case,2020-12-19,45,quantile,0.025,15340.093676757813,18355.0
85,2020-11-30,3 wk ahead inc case,2020-12-19,45,point,NA,34101.369140625,18355.0
86,2020-11-30,3 wk ahead inc case,2020-12-19,45,quantile,0.1,26424.077539062502,18355.0
88,2020-11-30,3 wk ahead inc case,2020-12-19,45,quantile,0.25,29456.30419921875,18355.0
90,2020-11-30,3 wk ahead inc case,2020-12-19,45,quantile,0.5,34101.369140625,18355.0
