,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.025,2848.349072265625,85440.0
1,2022-01-03,1 wk ahead inc case,2022-01-08,51,point,NA,13749.66796875,85440.0
2,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.1,8205.012890625001,85440.0
4,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.25,11060.423583984375,85440.0
6,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.5,13749.66796875,85440.0
8,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.75,17942.365234375,85440.0
10,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.9,20676.318945312498,85440.0
12,2022-01-03,1 wk ahead inc case,2022-01-08,51,quantile,0.975,22062.849951171873,85440.0
14,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.025,13191.6798828125,87043.0
15,2022-01-03,2 wk ahead inc case,2022-01-15,51,point,NA,30127.7109375,87043.0
16,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.1,16527.78720703125,87043.0
18,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.25,23824.1806640625,87043.0
20,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.5,30127.7109375,87043.0
22,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.75,38019.8369140625,87043.0
24,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.9,41600.96015625,87043.0
26,2022-01-03,2 wk ahead inc case,2022-01-15,51,quantile,0.975,46563.66240234375,87043.0
28,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.025,17858.33291015625,71848.0
29,2022-01-03,3 wk ahead inc case,2022-01-22,51,point,NA,48347.46484375,71848.0
30,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.1,31844.573046875,71848.0
32,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.25,35511.828125,71848.0
34,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.5,48347.46484375,71848.0
36,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.75,65287.26171875,71848.0
38,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.9,81134.94843750002,71848.0
40,2022-01-03,3 wk ahead inc case,2022-01-22,51,quantile,0.975,94583.68476562499,71848.0
42,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.025,16997.432495117188,46365.0
43,2022-01-03,4 wk ahead inc case,2022-01-29,51,point,NA,67653.65625,46365.0
44,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.1,37113.784375,46365.0
46,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.25,48406.9853515625,46365.0
48,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.5,67653.65625,46365.0
50,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.75,84675.4921875,46365.0
52,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.9,93701.37968750001,46365.0
54,2022-01-03,4 wk ahead inc case,2022-01-29,51,quantile,0.975,120310.42343749998,46365.0
56,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.025,1621.9213836669921,73432.0
57,2022-01-03,1 wk ahead inc case,2022-01-08,45,point,NA,6132.886474609375,73432.0
58,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.1,2628.15556640625,73432.0
60,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.25,4377.517578125,73432.0
62,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.5,6132.886474609375,73432.0
64,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.75,7552.7579345703125,73432.0
66,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.9,8571.612207031254,73432.0
68,2022-01-03,1 wk ahead inc case,2022-01-08,45,quantile,0.975,10865.499877929688,73432.0
70,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.025,3135.454803466797,73677.0
71,2022-01-03,2 wk ahead inc case,2022-01-15,45,point,NA,6733.039794921875,73677.0
72,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.1,3972.16259765625,73677.0
74,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.25,5630.989013671875,73677.0
76,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.5,6733.039794921875,73677.0
78,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.75,8690.788330078125,73677.0
80,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.9,10621.6009765625,73677.0
82,2022-01-03,2 wk ahead inc case,2022-01-15,45,quantile,0.975,11056.758251953126,73677.0
84,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.025,6433.624792480468,84135.0
85,2022-01-03,3 wk ahead inc case,2022-01-22,45,point,NA,22285.3427734375,84135.0
86,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.1,7307.438525390625,84135.0
88,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.25,19386.40380859375,84135.0
90,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.5,22285.3427734375,84135.0
92,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.75,29566.048828125,84135.0
94,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.9,32810.940234375,84135.0
96,2022-01-03,3 wk ahead inc case,2022-01-22,45,quantile,0.975,38739.85107421874,84135.0
98,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.025,9955.966748046876,51817.0
99,2022-01-03,4 wk ahead inc case,2022-01-29,45,point,NA,45755.8515625,51817.0
100,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.1,16002.2798828125,51817.0
102,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.25,30939.12646484375,51817.0
104,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.5,45755.8515625,51817.0
106,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.75,61845.185546875,51817.0
108,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.9,73217.715625,51817.0
110,2022-01-03,4 wk ahead inc case,2022-01-29,45,quantile,0.975,87392.78496093751,51817.0
112,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.025,2986.5507202148438,126133.0
113,2022-01-03,1 wk ahead inc case,2022-01-08,37,point,NA,19315.3359375,126133.0
114,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.1,9398.394531250002,126133.0
116,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.25,14144.8720703125,126133.0
118,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.5,19315.3359375,126133.0
120,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.75,21947.84130859375,126133.0
122,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.9,26584.7064453125,126133.0
124,2022-01-03,1 wk ahead inc case,2022-01-08,37,quantile,0.975,29329.101611328126,126133.0
126,2022-01-03,2 wk ahead inc case,2022-01-15,37,quantile,0.025,4405.0092651367195,127065.0
127,2022-01-03,2 wk ahead inc case,2022-01-15,37,point,NA,12798.62109375,127065.0
128,2022-01-03,2 wk ahead inc case,2022-01-15,37,quantile,0.1,7922.110498046875,127065.0
130,2022-01-03,2 wk ahead inc case,2022-01-15,37,quantile,0.25,9378.154296875,127065.0
132,2022-01-03,2 wk ahead inc case,2022-01-15,37,quantile,0.5,12798.62109375,127065.0
