,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.025,1957.2408355712892,7201.0
1,2020-10-12,1 wk ahead inc case,2020-10-17,51,point,NA,5709.329345703125,7201.0
2,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.1,2876.059619140625,7201.0
4,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.25,4352.9071044921875,7201.0
6,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.5,5709.329345703125,7201.0
8,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.75,6495.197509765625,7201.0
10,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.9,7639.83134765625,7201.0
12,2020-10-12,1 wk ahead inc case,2020-10-17,51,quantile,0.975,8411.773608398438,7201.0
14,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.025,1793.3777160644531,8864.0
15,2020-10-12,2 wk ahead inc case,2020-10-24,51,point,NA,6073.36865234375,8864.0
16,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.1,2947.9697021484376,8864.0
18,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.25,4470.1068115234375,8864.0
20,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.5,6073.36865234375,8864.0
22,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.75,7019.901611328125,8864.0
24,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.9,8111.956347656251,8864.0
26,2020-10-12,2 wk ahead inc case,2020-10-24,51,quantile,0.975,8594.158203125,8864.0
28,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.025,2431.133270263672,9715.0
29,2020-10-12,3 wk ahead inc case,2020-10-31,51,point,NA,7034.17724609375,9715.0
30,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.1,3594.8320556640624,9715.0
32,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.25,5102.9014892578125,9715.0
34,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.5,7034.17724609375,9715.0
36,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.75,9423.170166015625,9715.0
38,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.9,11480.832421875,9715.0
40,2020-10-12,3 wk ahead inc case,2020-10-31,51,quantile,0.975,12730.794946289063,9715.0
42,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.025,1660.3808410644533,9954.0
43,2020-10-12,4 wk ahead inc case,2020-11-07,51,point,NA,7620.044921875,9954.0
44,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.1,3652.0125244140627,9954.0
46,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.25,5122.5750732421875,9954.0
48,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.5,7620.044921875,9954.0
50,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.75,9816.59716796875,9954.0
52,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.9,11040.040722656251,9954.0
54,2020-10-12,4 wk ahead inc case,2020-11-07,51,quantile,0.975,14011.899414062496,9954.0
56,2020-10-12,1 wk ahead inc case,2020-10-17,45,quantile,0.025,2748.5774475097655,6146.0
