,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.025,1463.6781433105468,1307.0
1,2021-05-31,1 wk ahead inc case,2021-06-05,51,point,NA,2119.0496826171875,1307.0
2,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.1,1765.0459838867187,1307.0
4,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.25,1849.098388671875,1307.0
6,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.5,2119.0496826171875,1307.0
8,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.75,2178.6295166015625,1307.0
10,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.9,2195.18310546875,1307.0
12,2021-05-31,1 wk ahead inc case,2021-06-05,51,quantile,0.975,2214.83203125,1307.0
14,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.025,1494.3724700927735,1163.0
15,2021-05-31,2 wk ahead inc case,2021-06-12,51,point,NA,2046.9054565429688,1163.0
16,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.1,1734.06259765625,1163.0
18,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.25,1758.1731567382812,1163.0
20,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.5,2046.9054565429688,1163.0
22,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.75,2152.7241821289062,1163.0
24,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.9,2176.25390625,1163.0
26,2021-05-31,2 wk ahead inc case,2021-06-12,51,quantile,0.975,2180.1384704589846,1163.0
28,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.025,1564.7801361083984,1665.0
29,2021-05-31,3 wk ahead inc case,2021-06-19,51,point,NA,2092.1275634765625,1665.0
30,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.1,1724.2125122070313,1665.0
32,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.25,1802.2487487792969,1665.0
34,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.5,2092.1275634765625,1665.0
36,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.75,2145.52490234375,1665.0
38,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.9,2157.2114990234377,1665.0
40,2021-05-31,3 wk ahead inc case,2021-06-19,51,quantile,0.975,2169.864886474609,1665.0
42,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.025,1551.1337890625,1530.0
43,2021-05-31,4 wk ahead inc case,2021-06-26,51,point,NA,2031.262939453125,1530.0
44,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.1,1703.0703491210938,1530.0
46,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.25,1793.8921813964844,1530.0
48,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.5,2031.262939453125,1530.0
50,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.75,2127.5148315429688,1530.0
52,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.9,2150.8584228515624,1530.0
54,2021-05-31,4 wk ahead inc case,2021-06-26,51,quantile,0.975,2163.7498413085937,1530.0
56,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.025,2079.600933837891,961.0
57,2021-05-31,1 wk ahead inc case,2021-06-05,45,point,NA,2560.2763671875,961.0
58,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.1,2302.8086669921877,961.0
60,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.25,2465.546875,961.0
62,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.5,2560.2763671875,961.0
64,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.75,2687.4268798828125,961.0
66,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.9,2948.012451171875,961.0
68,2021-05-31,1 wk ahead inc case,2021-06-05,45,quantile,0.975,2986.3369140625,961.0
70,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.025,1969.4061065673827,820.0
71,2021-05-31,2 wk ahead inc case,2021-06-12,45,point,NA,2521.1741943359375,820.0
72,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.1,2111.9849853515625,820.0
74,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.25,2235.1568603515625,820.0
76,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.5,2521.1741943359375,820.0
78,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.75,2835.0391845703125,820.0
80,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.9,2838.8197021484375,820.0
82,2021-05-31,2 wk ahead inc case,2021-06-12,45,quantile,0.975,2870.0035705566406,820.0
84,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.025,2061.545306396484,782.0
85,2021-05-31,3 wk ahead inc case,2021-06-19,45,point,NA,2435.5107421875,782.0
86,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.1,2295.1798095703125,782.0
88,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.25,2309.4832763671875,782.0
90,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.5,2435.5107421875,782.0
92,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.75,2752.05517578125,782.0
94,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.9,2775.7135986328126,782.0
96,2021-05-31,3 wk ahead inc case,2021-06-19,45,quantile,0.975,2808.2944580078124,782.0
98,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.025,1580.8204284667968,1137.0
99,2021-05-31,4 wk ahead inc case,2021-06-26,45,point,NA,2358.7537841796875,1137.0
100,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.1,1901.1930053710937,1137.0
102,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.25,2096.1670532226562,1137.0
104,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.5,2358.7537841796875,1137.0
106,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.75,2540.3925170898438,1137.0
108,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.9,2713.325048828125,1137.0
110,2021-05-31,4 wk ahead inc case,2021-06-26,45,quantile,0.975,2752.016424560547,1137.0
112,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.025,3010.1814086914064,3099.0
113,2021-05-31,1 wk ahead inc case,2021-06-05,37,point,NA,4345.099853515625,3099.0
114,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.1,3550.7062255859373,3099.0
116,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.25,3764.4088134765625,3099.0
118,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.5,4345.099853515625,3099.0
120,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.75,4640.9266357421875,3099.0
122,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.9,4678.8642578125,3099.0
124,2021-05-31,1 wk ahead inc case,2021-06-05,37,quantile,0.975,4678.8642578125,3099.0
126,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.025,3206.5060119628906,2525.0
127,2021-05-31,2 wk ahead inc case,2021-06-12,37,point,NA,4236.157958984375,2525.0
128,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.1,3400.5718994140625,2525.0
130,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.25,3963.6375122070312,2525.0
132,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.5,4236.157958984375,2525.0
134,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.75,4545.343994140625,2525.0
136,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.9,4577.080224609375,2525.0
138,2021-05-31,2 wk ahead inc case,2021-06-12,37,quantile,0.975,4618.605334472656,2525.0
140,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.025,3124.779248046875,2316.0
141,2021-05-31,3 wk ahead inc case,2021-06-19,37,point,NA,4170.0224609375,2316.0
142,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.1,3572.8621826171875,2316.0
144,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.25,4003.7542724609375,2316.0
146,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.5,4170.0224609375,2316.0
148,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.75,4403.2431640625,2316.0
150,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.9,4474.344873046875,2316.0
152,2021-05-31,3 wk ahead inc case,2021-06-19,37,quantile,0.975,4493.998828125,2316.0
154,2021-05-31,4 wk ahead inc case,2021-06-26,37,quantile,0.025,2965.975634765625,2203.0
155,2021-05-31,4 wk ahead inc case,2021-06-26,37,point,NA,3949.177490234375,2203.0
156,2021-05-31,4 wk ahead inc case,2021-06-26,37,quantile,0.1,3347.3160400390625,2203.0
158,2021-05-31,4 wk ahead inc case,2021-06-26,37,quantile,0.25,3551.9862670898438,2203.0
