,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.025,6178.763781738281,17480.0
1,2021-11-29,1 wk ahead inc case,2021-12-04,51,point,NA,19902.109375,17480.0
2,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.1,10263.084228515627,17480.0
4,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.25,10684.208984375,17480.0
6,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.5,19902.109375,17480.0
8,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.75,19902.109375,17480.0
10,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.9,19931.9162109375,17480.0
12,2021-11-29,1 wk ahead inc case,2021-12-04,51,quantile,0.975,20192.53125,17480.0
14,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.025,6309.773278808594,19345.0
15,2021-11-29,2 wk ahead inc case,2021-12-11,51,point,NA,18730.1142578125,19345.0
16,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.1,10372.613671875,19345.0
18,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.25,14351.323974609375,19345.0
20,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.5,18730.1142578125,19345.0
22,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.75,20362.771484375,19345.0
24,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.9,20369.07421875,19345.0
26,2021-11-29,2 wk ahead inc case,2021-12-11,51,quantile,0.975,20651.986328125,19345.0
28,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.025,5269.070947265625,35983.0
29,2021-11-29,3 wk ahead inc case,2021-12-18,51,point,NA,17267.92431640625,35983.0
30,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.1,5844.5634765625,35983.0
32,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.25,10826.943603515625,35983.0
34,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.5,17267.92431640625,35983.0
36,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.75,19126.07958984375,35983.0
38,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.9,20610.62734375,35983.0
40,2021-11-29,3 wk ahead inc case,2021-12-18,51,quantile,0.975,20656.812890625,35983.0
42,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.025,5666.915808105468,69029.0
43,2021-11-29,4 wk ahead inc case,2021-12-25,51,point,NA,16617.74169921875,69029.0
44,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.1,10538.557421875,69029.0
46,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.25,13771.633544921875,69029.0
48,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.5,16617.74169921875,69029.0
50,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.75,18621.09033203125,69029.0
52,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.9,20519.2376953125,69029.0
54,2021-11-29,4 wk ahead inc case,2021-12-25,51,quantile,0.975,21073.822851562498,69029.0
56,2021-11-29,1 wk ahead inc case,2021-12-04,45,quantile,0.025,2457.841143798828,7357.0
57,2021-11-29,1 wk ahead inc case,2021-12-04,45,point,NA,6175.264404296875,7357.0
